scrapeNum,courseCodes,link
157,GC221,https://academic-calendar.wlu.ca/course.php?c=64849&cal=1&d=2638&s=1046&y=85
158,GC223,https://academic-calendar.wlu.ca/course.php?c=66136&cal=1&d=2638&s=1046&y=85
159,GC230,https://academic-calendar.wlu.ca/course.php?c=64857&cal=1&d=2638&s=1046&y=85
160,GC231,https://academic-calendar.wlu.ca/course.php?c=64858&cal=1&d=2638&s=1046&y=85
161,GC232,https://academic-calendar.wlu.ca/course.php?c=64859&cal=1&d=2638&s=1046&y=85
162,GC233,https://academic-calendar.wlu.ca/course.php?c=64860&cal=1&d=2638&s=1046&y=85
163,GC234,https://academic-calendar.wlu.ca/course.php?c=64862&cal=1&d=2638&s=1046&y=85
164,GC235,https://academic-calendar.wlu.ca/course.php?c=64866&cal=1&d=2638&s=1046&y=85
165,GC241,https://academic-calendar.wlu.ca/course.php?c=64850&cal=1&d=2638&s=1046&y=85
166,GC252,https://academic-calendar.wlu.ca/course.php?c=64831&cal=1&d=2638&s=1046&y=85
167,GC270,https://academic-calendar.wlu.ca/course.php?c=64842&cal=1&d=2638&s=1046&y=85
168,GC272,https://academic-calendar.wlu.ca/course.php?c=64863&cal=1&d=2638&s=1046&y=85
169,GC275,https://academic-calendar.wlu.ca/course.php?c=64864&cal=1&d=2638&s=1046&y=85
170,GC280,https://academic-calendar.wlu.ca/course.php?c=64845&cal=1&d=2638&s=1046&y=85
171,GC301,https://academic-calendar.wlu.ca/course.php?c=64835&cal=1&d=2638&s=1046&y=85
172,GC330,https://academic-calendar.wlu.ca/course.php?c=64861&cal=1&d=2638&s=1046&y=85
173,GC341,https://academic-calendar.wlu.ca/course.php?c=64836&cal=1&d=2638&s=1046&y=85
174,GC342,https://academic-calendar.wlu.ca/course.php?c=64837&cal=1&d=2638&s=1046&y=85
175,GC343,https://academic-calendar.wlu.ca/course.php?c=64838&cal=1&d=2638&s=1046&y=85
176,GC345,https://academic-calendar.wlu.ca/course.php?c=64851&cal=1&d=2638&s=1046&y=85
177,GC346,https://academic-calendar.wlu.ca/course.php?c=64847&cal=1&d=2638&s=1046&y=85
178,GC351,https://academic-calendar.wlu.ca/course.php?c=64832&cal=1&d=2638&s=1046&y=85
179,GC352,https://academic-calendar.wlu.ca/course.php?c=64833&cal=1&d=2638&s=1046&y=85
180,GC353,https://academic-calendar.wlu.ca/course.php?c=64830&cal=1&d=2638&s=1046&y=85
181,GC354,https://academic-calendar.wlu.ca/course.php?c=64841&cal=1&d=2638&s=1046&y=85
182,GC355,https://academic-calendar.wlu.ca/course.php?c=64852&cal=1&d=2638&s=1046&y=85
183,GC361,https://academic-calendar.wlu.ca/course.php?c=64853&cal=1&d=2638&s=1046&y=85
184,GC362,https://academic-calendar.wlu.ca/course.php?c=69921&cal=1&d=2638&s=1046&y=85
185,GC372,https://academic-calendar.wlu.ca/course.php?c=64843&cal=1&d=2638&s=1046&y=85
186,GC373,https://academic-calendar.wlu.ca/course.php?c=64854&cal=1&d=2638&s=1046&y=85
187,GC374,https://academic-calendar.wlu.ca/course.php?c=64855&cal=1&d=2638&s=1046&y=85
188,GC378,https://academic-calendar.wlu.ca/course.php?c=64865&cal=1&d=2638&s=1046&y=85
189,GC380,https://academic-calendar.wlu.ca/course.php?c=64844&cal=1&d=2638&s=1046&y=85
190,GC398,https://academic-calendar.wlu.ca/course.php?c=64828&cal=1&d=2638&s=1046&y=85
191,GC399,https://academic-calendar.wlu.ca/course.php?c=64829&cal=1&d=2638&s=1046&y=85
192,GC401,https://academic-calendar.wlu.ca/course.php?c=64827&cal=1&d=2638&s=1046&y=85
193,GC480,https://academic-calendar.wlu.ca/course.php?c=64846&cal=1&d=2638&s=1046&y=85
194,CS100,https://academic-calendar.wlu.ca/course.php?c=62938&cal=1&d=2528&s=1033&y=85
195,CS101,https://academic-calendar.wlu.ca/course.php?c=62939&cal=1&d=2528&s=1033&y=85
196,CS202,https://academic-calendar.wlu.ca/course.php?c=62940&cal=1&d=2528&s=1033&y=85
197,CS203,https://academic-calendar.wlu.ca/course.php?c=62941&cal=1&d=2528&s=1033&y=85
198,CS204,https://academic-calendar.wlu.ca/course.php?c=62945&cal=1&d=2528&s=1033&y=85
199,CS205,https://academic-calendar.wlu.ca/course.php?c=62972&cal=1&d=2528&s=1033&y=85
200,CS206,https://academic-calendar.wlu.ca/course.php?c=62961&cal=1&d=2528&s=1033&y=85
201,CS213,https://academic-calendar.wlu.ca/course.php?c=62942&cal=1&d=2528&s=1033&y=85
202,CS235,https://academic-calendar.wlu.ca/course.php?c=62943&cal=1&d=2528&s=1033&y=85
203,CS250,https://academic-calendar.wlu.ca/course.php?c=62962&cal=1&d=2528&s=1033&y=85
204,CS251,https://academic-calendar.wlu.ca/course.php?c=62944&cal=1&d=2528&s=1033&y=85
205,CS260,https://academic-calendar.wlu.ca/course.php?c=62960&cal=1&d=2528&s=1033&y=85
206,CS288,https://academic-calendar.wlu.ca/course.php?c=62970&cal=1&d=2528&s=1033&y=85
207,CS304,https://academic-calendar.wlu.ca/course.php?c=62946&cal=1&d=2528&s=1033&y=85
208,CS310,https://academic-calendar.wlu.ca/course.php?c=62947&cal=1&d=2528&s=1033&y=85
209,CS312,https://academic-calendar.wlu.ca/course.php?c=62948&cal=1&d=2528&s=1033&y=85
210,CS315,https://academic-calendar.wlu.ca/course.php?c=62949&cal=1&d=2528&s=1033&y=85
211,CS322,https://academic-calendar.wlu.ca/course.php?c=62950&cal=1&d=2528&s=1033&y=85
212,CS325,https://academic-calendar.wlu.ca/course.php?c=62951&cal=1&d=2528&s=1033&y=85
213,CS333,https://academic-calendar.wlu.ca/course.php?c=62952&cal=1&d=2528&s=1033&y=85
214,CS340,https://academic-calendar.wlu.ca/course.php?c=62953&cal=1&d=2528&s=1033&y=85
215,CS341,https://academic-calendar.wlu.ca/course.php?c=62954&cal=1&d=2528&s=1033&y=85
216,CS350,https://academic-calendar.wlu.ca/course.php?c=62955&cal=1&d=2528&s=1033&y=85
217,CS351,https://academic-calendar.wlu.ca/course.php?c=62956&cal=1&d=2528&s=1033&y=85
218,CS352,https://academic-calendar.wlu.ca/course.php?c=62959&cal=1&d=2528&s=1033&y=85
219,CS353,https://academic-calendar.wlu.ca/course.php?c=62963&cal=1&d=2528&s=1033&y=85
220,CS360,https://academic-calendar.wlu.ca/course.php?c=62973&cal=1&d=2528&s=1033&y=85
221,CS371,https://academic-calendar.wlu.ca/course.php?c=62971&cal=1&d=2528&s=1033&y=85
222,CS400,https://academic-calendar.wlu.ca/course.php?c=62957&cal=1&d=2528&s=1033&y=85
223,CS411,https://academic-calendar.wlu.ca/course.php?c=62964&cal=1&d=2528&s=1033&y=85
224,CS412,https://academic-calendar.wlu.ca/course.php?c=62965&cal=1&d=2528&s=1033&y=85
225,CS413,https://academic-calendar.wlu.ca/course.php?c=62966&cal=1&d=2528&s=1033&y=85
226,CS414,https://academic-calendar.wlu.ca/course.php?c=62967&cal=1&d=2528&s=1033&y=85
227,CS415,https://academic-calendar.wlu.ca/course.php?c=62968&cal=1&d=2528&s=1033&y=85
228,CS416,https://academic-calendar.wlu.ca/course.php?c=62969&cal=1&d=2528&s=1033&y=85
229,CS429,https://academic-calendar.wlu.ca/course.php?c=62958&cal=1&d=2528&s=1033&y=85
230,CC100,https://academic-calendar.wlu.ca/course.php?c=64909&cal=1&d=2640&s=1047&y=85
231,CC102,https://academic-calendar.wlu.ca/course.php?c=64946&cal=1&d=2640&s=1047&y=85
232,CC200,https://academic-calendar.wlu.ca/course.php?c=64910&cal=1&d=2640&s=1047&y=85
233,CC202,https://academic-calendar.wlu.ca/course.php?c=64911&cal=1&d=2640&s=1047&y=85
234,CC203,https://academic-calendar.wlu.ca/course.php?c=64912&cal=1&d=2640&s=1047&y=85
235,CC205,https://academic-calendar.wlu.ca/course.php?c=64925&cal=1&d=2640&s=1047&y=85
236,CC209,https://academic-calendar.wlu.ca/course.php?c=64932&cal=1&d=2640&s=1047&y=85
237,CC210,https://academic-calendar.wlu.ca/course.php?c=64926&cal=1&d=2640&s=1047&y=85
238,CC211,https://academic-calendar.wlu.ca/course.php?c=64928&cal=1&d=2640&s=1047&y=85
239,CC212,https://academic-calendar.wlu.ca/course.php?c=64930&cal=1&d=2640&s=1047&y=85
240,CC215,https://academic-calendar.wlu.ca/course.php?c=64936&cal=1&d=2640&s=1047&y=85
